cond(DC),cond(Diversity),cond(Position),cond(SMOOTH),cond(DC:Diversity),cond(DC:Position),cond(DC:SMOOTH),cond(Diversity:Position),cond(Diversity:SMOOTH),cond(Position:SMOOTH),cond(DC:Diversity:Position),cond(DC:Diversity:SMOOTH),cond(DC:Position:SMOOTH),cond(Diversity:Position:SMOOTH),cond(DC:Diversity:Position:SMOOTH),df,logLik,AICc
+,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,17,-825.1035987,1684.28387
NA,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,14,-828.3966328,1684.845864
+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,13,-830.1264197,1686.298419
NA,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,12,-831.2553349,1686.549733
+,+,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,16,-827.748653,1687.565451
+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-833.0520495,1688.137149
NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-836.3020091,1688.622038
+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,-832.7491069,1689.537277
NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-836.0893204,1690.201169
+,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,18,-827.5328802,1691.151464
+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,16,-829.6794148,1691.426974
+,+,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,19,-827.3040408,1692.70332
+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-832.4710597,1692.994718
+,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,19,-827.7015584,1693.498355
+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,17,-829.8502202,1693.777113
+,+,+,+,NA,NA,NA,NA,+,+,NA,NA,NA,NA,NA,20,-827.4361071,1694.977491
+,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,23,-824.591302,1695.321019
+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,-832.6524589,1695.365038
