cond(Diversity),cond(PEAK),cond(Position),cond(WU),cond(Diversity:PEAK),cond(Diversity:Position),cond(Diversity:WU),cond(PEAK:Position),cond(PEAK:WU),cond(Position:WU),cond(Diversity:PEAK:Position),cond(Diversity:PEAK:WU),cond(Diversity:Position:WU),cond(PEAK:Position:WU),cond(Diversity:PEAK:Position:WU),df,logLik,AICc
+,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,26,-17158.69515,34369.4098
NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,25,-17159.97031,34369.95869
+,+,+,+,+,+,NA,+,+,+,+,NA,NA,+,NA,31,-17154.0963,34370.22016
+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,39,-17146.94019,34371.92373
+,+,+,+,+,NA,+,+,+,+,NA,+,NA,+,NA,34,-17152.10031,34372.2337
+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,+,NA,27,-17159.17884,34372.3787
+,+,+,+,+,+,+,+,+,+,NA,+,+,+,NA,37,-17150.46129,34374.96165
+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,+,NA,28,-17159.59716,34375.21689
+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,+,NA,28,-17159.77382,34375.5702
+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,+,NA,29,-17159.1336,34376.29137
+,+,+,+,+,+,+,+,+,+,NA,+,NA,+,NA,35,-17153.39369,34376.82239
+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,+,NA,29,-17160.23199,34378.48816
+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,+,NA,30,-17159.2813,34378.58845
+,+,+,+,NA,+,+,+,+,+,NA,NA,+,+,NA,31,-17158.77906,34379.58569
+,+,+,+,+,+,+,+,+,+,NA,NA,NA,+,NA,31,-17158.81876,34379.66508
+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,27,-17172.82628,34399.67357
+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,35,-17165.67088,34401.37678
NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,NA,NA,21,-17181.22436,34404.46156
+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,31,-17171.3354,34404.69836
