,cond((Int)),disp((Int)),cond(Diversity),cond(PEAK),cond(Position),cond(WU),cond(Diversity:PEAK),cond(Diversity:Position),cond(Diversity:WU),cond(PEAK:Position),cond(PEAK:WU),cond(Position:WU),cond(Diversity:PEAK:Position),cond(Diversity:PEAK:WU),cond(Diversity:Position:WU),cond(PEAK:Position:WU),cond(Diversity:PEAK:Position:WU),df,logLik,AICc
1,0.467600294,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,39,-20478.70704,41035.45743
2,0.483076658,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,37,-20483.08446,41040.20799
3,0.469335856,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,+,NA,37,-20484.74523,41043.52953
4,0.471700302,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,43,-20478.93762,41043.92783
5,0.482458714,+,+,+,+,+,+,NA,+,+,+,+,NA,+,NA,+,NA,34,-20488.47168,41044.97644
6,0.486076318,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,+,NA,35,-20490.44168,41050.91839
7,0.40465027,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,35,-20496.11125,41062.25752
8,0.385117319,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,+,+,NA,31,-20500.26291,41062.55338
9,0.390632936,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,+,NA,33,-20499.93895,41065.90909
10,0.425155858,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,+,NA,29,-20508.16296,41074.3501
11,0.438293331,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,33,-20506.30414,41078.63946
12,0.449869024,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,+,NA,30,-20509.41613,41078.8581
13,0.448355527,+,+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,+,NA,28,-20511.71124,41079.44504
14,0.444557967,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,+,NA,31,-20509.0758,41080.17917
15,0.463354429,+,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,+,NA,31,-20511.70485,41085.43727
16,0.46841796,+,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,+,NA,28,-20516.47648,41088.97553
17,0.432290611,+,+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,+,NA,27,-20518.46734,41090.95569
18,0.451131519,+,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,+,NA,29,-20516.69632,41091.41682
19,0.450331341,+,+,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,26,-20520.14777,41092.31505
20,0.467598726,+,NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,25,-20521.89692,41093.81191
21,0.620720305,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,35,-20957.29416,41984.62334
22,0.612952034,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,33,-20960.6436,41987.31839
23,0.64554944,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,33,-20962.03836,41990.10791
24,0.648382473,+,+,+,+,+,+,NA,+,+,+,+,NA,+,NA,NA,NA,30,-20966.74095,41993.50775
25,0.63350284,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,31,-20966.71369,41995.45495
26,0.563706954,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,31,-20973.12936,42008.28628
27,0.539266432,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,+,NA,NA,27,-20977.35119,42008.7234
28,0.549121726,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,29,-20977.4288,42012.88177
29,0.610938765,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,29,-20982.03056,42022.08529
30,0.586526537,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,NA,NA,25,-20987.2533,42024.52467
31,0.610973149,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,26,-20986.46145,42024.9424
