cond((Int)),disp((Int)),cond(dataset_type),cond(Peak),cond(WU),cond(dataset_type:Peak),cond(dataset_type:WU),cond(Peak:WU),cond(dataset_type:Peak:WU),df,logLik,AICc,delta,weight
-2.245288449287765,+,+,+,+,+,+,+,+,63,932631.7709063246,-1865137.407269136,0,1
-1.7044654977825302,+,+,+,+,+,+,+,NA,39,929496.172489111,-1858914.292943532,6223.114325603936,0
-1.6076970978904614,+,+,+,+,+,NA,+,NA,33,929286.5411062978,-1858507.0447913902,6630.362477745861,0
-1.665658344911009,+,+,+,+,NA,+,+,NA,27,928382.297438084,-1856710.5696644026,8426.837604733417,0
-1.5741893203744788,+,+,+,+,NA,NA,+,NA,21,928209.5305782034,-1856377.045750758,8760.361518378137,0
-1.1621049943544728,+,+,+,+,+,+,NA,NA,31,926460.085584626,-1852858.1380849404,12279.26918419567,0
-1.0461546755925195,+,+,+,+,+,NA,NA,NA,25,926180.2207855221,-1852310.4198949847,12826.987374151358,0
-1.1277777339180894,+,+,+,+,NA,+,NA,NA,19,925233.5021544043,-1850428.9916379184,14708.41563121765,0
-1.0108088182764472,+,+,+,+,NA,NA,NA,NA,13,925019.7884363196,-1850013.5708045566,15123.83646457945,0
-0.8053464326320351,+,+,+,NA,+,NA,NA,NA,23,924893.3121906403,-1849740.6059739175,15396.801295218524,0
-0.7223584779247098,+,+,+,NA,NA,NA,NA,NA,11,923644.2193389154,-1847266.4342769508,17870.97299218527,0
-1.279364865270388,+,+,NA,+,NA,+,NA,NA,15,922780.6331620861,-1845531.2583220385,19606.148947097594,0
-1.1419470804459848,+,+,NA,+,NA,NA,NA,NA,9,922524.497946387,-1845030.992892274,20106.414376862114,0
-0.8542602910189626,+,+,NA,NA,NA,NA,NA,NA,7,921441.7865124476,-1842869.5711579798,22267.83611115627,0
