cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-0.04287082295367036,+,NA,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,12,5871.301171624424,-11718.524088922286,0,0.253134588962746
-0.04685084662554667,+,+,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,13,5872.030307883019,-11717.969296147374,0.55479277491213,0.191813765895558
-0.03648134958307904,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,13,5871.4881171062025,-11716.88491459374,1.6391743285457778,0.111534521761655
-0.04046277417950623,+,+,+,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,14,5872.217318873531,-11716.329242514943,2.194846407342993,0.0844785888439944
-0.04742984341846035,+,+,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,14,5872.046835302197,-11715.988275372274,2.5358135500118806,0.0712371565860824
-0.042420904704678006,+,NA,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,14,5871.650578818351,-11715.195762404583,3.3283265177033172,0.0479307883323804
-0.04639946135062428,+,+,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,15,5872.379863152555,-11714.6392443774,3.884844544885709,0.0362884332420101
-0.058143991271118974,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,17,5874.280424592533,-11714.40715757281,4.116931349475635,0.0323125482251103
-0.04116088179529148,+,+,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,15,5872.240001209599,-11714.359520491487,4.164568430798681,0.0315520039643728
-0.04104131790710401,+,+,+,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,15,5872.233834490585,-11714.34718705346,4.176901868826462,0.0313580303267678
-0.051749831275210025,+,+,+,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,18,5874.467469419866,-11712.76312271313,5.760966209156322,0.0142027870274427
-0.04710168966615526,+,+,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,16,5872.402520477461,-11712.668460487937,5.855628434348546,0.0135462140487866
-0.046980844352110154,+,+,+,+,+,NA,+,NA,+,NA,+,NA,NA,NA,NA,NA,16,5872.396370210663,-11712.656159954342,5.8679289679439535,0.0134631568919331
-0.05879648908395524,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,18,5874.300771057452,-11712.429725988302,6.094362933983575,0.0120220186083451
-0.041747971878962585,+,+,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,16,5872.25654962833,-11712.376518789675,6.147570132610781,0.0117064064661931
-0.05769415911426037,+,+,+,+,+,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,19,5874.630116512904,-11711.06927825194,7.454810670345978,0.00608919557978614
-0.05243759149184352,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,19,5874.489425857774,-11710.78789694168,7.736191980606236,0.00529003747074697
-0.05240488000015367,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,19,5874.4878029388765,-11710.784651103884,7.739437818401711,0.00528145913182298
-0.047681643297458914,+,+,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,17,5872.419066916192,-11710.684442220128,7.839646702157552,0.00502335465449584
-0.03507728120486271,+,NA,+,+,+,NA,NA,NA,NA,+,+,NA,NA,NA,NA,NA,17,5871.747723003332,-11709.341754394409,9.182334527877174,0.00256704146672278
-0.05838134216539829,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,20,5874.652065902427,-11709.09302348618,9.4310654361052,0.00226684410351498
-0.05834461730348506,+,+,+,+,+,NA,+,+,+,NA,+,NA,NA,NA,NA,NA,20,5874.650441615055,-11709.089774911436,9.434314010850358,0.00226316508596178
-0.04646073256535309,+,+,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,18,5872.491537496583,-11708.811258866564,9.712830055721497,0.00196896158901931
-0.053092047893561596,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,20,5874.509795084951,-11708.808481851229,9.715607071057093,0.00196622956791042
-0.0390517291282177,+,+,+,+,+,NA,NA,NA,NA,+,+,NA,NA,NA,NA,NA,18,5872.476757639886,-11708.78169915317,9.742389769115107,0.00194007461738992
-0.04103620719809451,+,NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,NA,NA,18,5871.910925165616,-11707.650034204631,10.874054717654872,0.0011017435392444
-0.06857582843604847,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,22,5875.870282862593,-11707.486102561998,11.037986360288414,0.00101504012052261
-0.059031653567603655,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,21,5874.672432432163,-11707.112587337931,11.411501584354482,0.000842122765836343
-0.04501893154360527,+,+,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,NA,NA,19,5872.640042340733,-11707.089129907597,11.434959014688502,0.000832303444356733
-0.03975527147009036,+,+,+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,19,5872.499465353436,-11706.807975933003,11.71611298928292,0.000723152483508317
-0.03963272055525809,+,+,+,+,+,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,19,5872.493249076041,-11706.795543378214,11.728545544072404,0.000718671110232627
-0.0621866715080383,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,23,5876.057266872504,-11705.836867749033,12.68722117325342,0.000444996319711441
-0.05782498627366461,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,22,5874.744016993762,-11705.233570824335,13.290518097950553,0.000329118395072436
-0.0503389248199587,+,+,+,+,+,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,22,5874.727961816953,-11705.201460470718,13.322628451567653,0.000323876533157042
-0.045716324928661206,+,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,20,5872.6627264006265,-11705.11434448258,13.409744439706628,0.000310071953494813
