"","cond((Int))","disp((Int))","cond(DC)","cond(diversity)","cond(position)","cond(smooth)","cond(DC:diversity)","cond(DC:position)","cond(DC:smooth)","cond(diversity:position)","cond(diversity:smooth)","cond(position:smooth)","cond(DC:diversity:position)","cond(DC:diversity:smooth)","cond(DC:position:smooth)","cond(diversity:position:smooth)","cond(DC:diversity:position:smooth)","df","logLik","AICc","delta","weight"
"1",-1.53356569708611,"+",NA,NA,"+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,12,106489.256175106,-212954.434095885,0,0.387599267467953
"2",-1.52314396198734,"+","+",NA,"+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,13,106489.407947631,-212952.724575643,1.70952024264261,0.164878999543141
"3",-1.53006259792588,"+",NA,"+","+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,13,106489.273144021,-212952.454968423,1.97912746245856,0.144085699629413
"4",-1.53277856128172,"+","+",NA,"+","+",NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,14,106489.542838575,-212950.980281918,3.45381396677112,0.0689281740556737
"5",-1.51959638708402,"+","+","+","+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,14,106489.425237848,-212950.745080464,3.68901542120147,0.0612806590125971
"6",-1.53266227260408,"+",NA,"+","+","+",NA,NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,14,106489.283031519,-212950.460667807,3.97342807869427,0.0531574333326381
"7",-1.52921344909381,"+","+","+","+","+",NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,15,106489.560382708,-212949.000283488,5.43381239697919,0.0256121229366429
"8",-1.52478538327317,"+","+","+","+","+","+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,15,106489.461672329,-212948.80286273,5.63123315569828,0.023204713177646
"9",-1.52221319537566,"+","+","+","+","+",NA,NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,15,106489.435329506,-212948.750177085,5.68391880064155,0.0226014166914615
"10",-1.53436064446571,"+","+","+","+","+","+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,16,106489.596337366,-212947.056094264,7.37800162105123,0.00968880581664324
"11",-1.53187354145976,"+","+","+","+","+",NA,"+",NA,"+",NA,"+",NA,NA,NA,NA,NA,16,106489.570719288,-212947.00485811,7.42923777541728,0.00944374957833385
"12",-1.52736773664289,"+","+","+","+","+","+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,16,106489.471569149,-212946.80655783,7.62753805523971,0.00855232317553604
"13",-1.522628818381,"+","+",NA,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,17,106489.655994859,-212945.158298105,9.27579778013751,0.0037511899139193
"14",-1.53699855721618,"+","+","+","+","+","+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,17,106489.606535961,-212945.05938031,9.37471557484241,0.00357017353079506
"15",-1.52249260434825,"+",NA,"+","+","+",NA,NA,NA,NA,"+","+",NA,NA,NA,NA,NA,17,106489.327351885,-212944.501012157,9.93308372810134,0.00270048159614383
