cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-9.49925454144691,+,+,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,13,59693.069571942084,-119360.04782426551,0,0.346291951196128
-9.486455363223557,+,+,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,14,59693.237434459574,-119358.36947368702,1.6783505784842419,0.149621222873979
-9.497826691618451,+,+,+,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,14,59693.096345741695,-119358.08729625127,1.9605280142422998,0.129932904986081
-9.484964574245117,+,+,+,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,15,59693.26426398046,-119356.40804603322,3.6397782322892454,0.0561144352748799
-9.497371737691887,+,+,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,15,59693.104389113585,-119356.08829629947,3.959527966042515,0.0478235514267937
-9.49868290209273,+,+,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,15,59693.09713866199,-119356.07379539628,3.9740288692264585,0.0474780630690226
-9.487372659293701,+,NA,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,12,59690.0374251793,-119355.99659603203,4.051228233482107,0.0456803438238185
-9.501820249150837,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,17,59694.69399116211,-119355.23429071196,4.813533553548041,0.0312030370703867
-9.484560577614522,+,+,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,16,59693.272311558074,-119354.40804264916,5.639781616351684,0.0206433121614157
-9.485864137357565,+,+,+,+,+,NA,+,NA,+,NA,+,NA,NA,NA,NA,NA,16,59693.265019316015,-119354.39345816504,5.654366100468906,0.020493323673083
-9.498239174829537,+,+,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,16,59693.10517665942,-119354.07377285184,5.974051413664711,0.0174660064279732
-9.485890070407288,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,13,59690.06435107225,-119354.03738252584,6.0104417396651115,0.0171510833209456
-9.488894688026551,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,18,59694.86413496535,-119353.55645380409,6.4913704614154994,0.0134852565080705
