formula,Model,Type,AIC,BIC,R2_conditional,R2_marginal,ICC,RMSE,Sigma,BF,Performance_Score
success ~ DC + position + smooth + DC:position + DC:smooth + position:smooth + DC:position:smooth + (1 | dataset_ID),mod_detail_false_m2,glmmTMB,-52666.73865533127,-52528.26956324902,0.771298349082102,0.6435394012039019,0.35840973254741293,0.02843406055777615,25.383264699710956,1.3780339989724998e-7,0.6932914729808094
success ~ DC + diversity + position + smooth + DC:diversity + DC:position + DC:smooth + position:smooth + DC:position:smooth + (1 | dataset_ID),mod_detail_false_m4,glmmTMB,-52666.34842455562,-52515.291233193166,0.7711683449989921,0.6440433342262025,0.3571361994203381,0.028450061101755016,25.37837604444759,2.094360164601917e-10,0.5888780968124522
success ~ DC + position + smooth + DC:position + DC:smooth + position:smooth + (1 | dataset_ID),mod_detail_false_m5,glmmTMB,-52666.14722460786,-52552.854331086026,0.7704996636635705,0.6427491419478575,0.3575933236724855,0.028485979696010907,25.300483381187103,0.030045154243057145,0.5218301790246241
success ~ DC + position + smooth + DC:smooth + position:smooth + (1 | dataset_ID),mod_detail_false_m1,glmmTMB,-52666.863282742706,-52559.864438860975,0.7701696959002916,0.6427527301920951,0.3566632315390673,0.02851380083550975,25.269900952671783,1,0.5028580654647636
success ~ position + smooth + position:smooth + (1 | dataset_ID),mod_detail_false_m9,glmmTMB,-52664.95520735591,-52589.42661167469,0.770095415721816,0.6420805985479237,0.35766381105505074,0.028501342661557547,25.242912543200752,2626299.572813592,0.4471403600975428
success ~ DC + diversity + position + smooth + DC:diversity + DC:position + DC:smooth + position:smooth + (1 | dataset_ID),mod_detail_false_m6,glmmTMB,-52665.803200220376,-52539.922207418334,0.7703583731230618,0.6432546747817762,0.3562869345618901,0.028502206404701635,25.295078998941538,4.6730396268874934e-5,0.4186034587480886
success ~ DC + position + smooth + position:smooth + (1 | dataset_ID),mod_detail_false_m10,glmmTMB,-52664.95392602257,-52583.131280701244,0.7700316408521638,0.6421371816230614,0.35738403841214533,0.028510152437918792,25.240109268641262,112805.56141261876,0.4100420674412491
success ~ DC + diversity + position + smooth + DC:diversity + DC:smooth + position:smooth + (1 | dataset_ID),mod_detail_false_m3,glmmTMB,-52666.56362325527,-52546.976680093336,0.7700343039513812,0.6432578763116533,0.35537274468456354,0.028529539128459704,25.265009356123784,0.0015902256035027053,0.40454130551162687
success ~ DC + diversity + position + smooth + DC:smooth + position:smooth + (1 | dataset_ID),mod_detail_false_m7,glmmTMB,-52665.10587966657,-52551.81298614473,0.7701602291913638,0.6428312769960913,0.356495247188481,0.02851385356623532,25.269656894196103,0.01785045362128083,0.3535545651511238
success ~ DC + diversity + position + smooth + DC:diversity + DC:smooth + diversity:position + position:smooth + (1 | dataset_ID),mod_detail_false_m8,glmmTMB,-52665.1033966119,-52539.22240380986,0.7700297453778058,0.6434356080515463,0.3550386415045068,0.02853277222856234,25.26501873729187,3.293358745843801e-5,0.27392167182361943
