"","cond((Int))","disp((Int))","cond(DC)","cond(diversity)","cond(position)","cond(smooth)","cond(DC:diversity)","cond(DC:position)","cond(DC:smooth)","cond(diversity:position)","cond(diversity:smooth)","cond(position:smooth)","cond(DC:diversity:position)","cond(DC:diversity:smooth)","cond(DC:position:smooth)","cond(diversity:position:smooth)","cond(DC:diversity:position:smooth)","df","logLik","AICc","delta","weight"
"1",2.01055934900021,"+",NA,NA,"+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,12,107008.962836383,-213993.847418439,0,0.342099540319562
"2",1.99527266559126,"+","+",NA,"+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,13,107009.339961753,-213992.588603887,1.25881455204217,0.182307436273487
"3",2.0146808384048,"+",NA,"+","+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,13,107008.989400155,-213991.887480691,1.95993774809176,0.128397750834198
"4",2.00881584364359,"+","+",NA,"+","+",NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,14,107009.631255298,-213991.157115364,2.69030307538924,0.0891170086845646
"5",1.99942231201626,"+","+","+","+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,14,107009.366997967,-213990.628600703,3.21881773654604,0.0684218952916017
"6",2.01057695385148,"+",NA,"+","+","+",NA,NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,14,107009.016312523,-213989.927229815,3.92018862467376,0.0481830565762687
"7",2.01303609422235,"+","+","+","+","+",NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,15,107009.658996957,-213989.197511985,4.64990645405487,0.0334532359315244
"8",1.99524095863806,"+","+","+","+","+",NA,NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,15,107009.394712461,-213988.668942994,5.17847544574761,0.0256838920112094
"9",1.99535419266744,"+","+","+","+","+","+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,15,107009.39338353,-213988.666285132,5.18113330731285,0.025649782566064
"10",2.00883219048816,"+","+","+","+","+",NA,"+",NA,"+",NA,"+",NA,NA,NA,NA,NA,16,107009.68715053,-213987.237720594,6.60969784564804,0.0125566803838385
"11",2.00894293505063,"+","+","+","+","+","+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,16,107009.685548532,-213987.234516596,6.61290184329846,0.0125365807007481
"12",1.99118739571065,"+","+","+","+","+","+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,16,107009.421061658,-213986.70554285,7.14187558973208,0.00962307589728906
