cond((Int)),disp((Int)),cond(dataset_type),cond(Peak),cond(WU),cond(dataset_type:Peak),cond(dataset_type:WU),cond(Peak:WU),cond(dataset_type:Peak:WU),df,logLik,AICc,delta,weight
-5.95385378333682,+,+,+,+,+,+,+,+,63,624477.4488295497,-1248828.7631155862,0,1
-4.125085307908061,+,+,+,+,+,+,+,NA,39,607023.7484945473,-1213969.4449544048,34859.31816118141,0
-4.134274100157404,+,+,+,+,NA,+,+,NA,27,606793.1907882511,-1213532.3563647368,35296.40675084945,0
-4.054819163869139,+,+,+,+,+,NA,+,NA,33,598408.1819371061,-1196750.3264530068,52078.43666257942,0
-3.9550696654680166,+,+,+,+,NA,NA,+,NA,21,597176.6246832091,-1194311.2339607694,54517.529154816875,0
-3.7722169595589805,+,+,+,+,+,+,NA,NA,31,589484.3683149051,-1178906.7035454987,69922.05957008759,0
-3.8394504621667966,+,+,+,+,NA,+,NA,NA,19,588686.6668741709,-1177335.3210774516,71493.44203813467,0
-3.0760147654954197,+,+,+,+,+,NA,NA,NA,25,580427.5005144235,-1160804.9793527874,88023.78376279888,0
-3.092842494713168,+,+,+,NA,+,NA,NA,NA,23,580372.5048972316,-1160698.9913871002,88129.77172848606,0
-3.2189393065089704,+,+,+,+,NA,NA,NA,NA,13,580188.9220726517,-1160351.8380772208,88476.92503836541,0
-3.2737413065139807,+,+,+,NA,NA,NA,NA,NA,11,580086.4030973244,-1160150.8017937688,88677.96132181748,0
-3.294873166533399,+,+,NA,+,NA,+,NA,NA,15,574705.3899926167,-1149380.7719830996,99447.99113248661,0
-2.7604106795060925,+,+,NA,+,NA,NA,NA,NA,9,570577.1439002248,-1141136.2847999495,107692.47831563675,0
-2.7629043259526775,+,+,NA,NA,NA,NA,NA,NA,7,570510.5835815773,-1141007.165296239,107821.59781934717,0
