"","cond((Int))","disp((Int))","cond(dataset_type)","cond(Peak)","cond(WU)","cond(dataset_type:Peak)","cond(dataset_type:WU)","cond(Peak:WU)","cond(dataset_type:Peak:WU)","df","logLik","AICc","delta","weight"
"1",-1.62284406537401,"+","+","+","+","+","+","+","+",63,1599444.10399964,-3198762.07345576,0,1
"2",-0.86855861506185,"+","+","+","+","+","+","+",NA,39,1597668.63549174,-3195259.21894878,3502.85450697737,0
"3",-0.632901083907189,"+","+","+","+","+",NA,"+",NA,33,1596775.85751282,-3193485.67760443,5276.39585132757,0
"4",-0.818088023334454,"+","+","+","+",NA,"+","+",NA,27,1592184.38913748,-3184314.75306319,14447.3203925733,0
"5",-0.596278742692918,"+","+","+","+",NA,NA,"+",NA,21,1591451.62758555,-3182861.23976546,15900.8336903024,0
"6",-1.06507840843879,"+","+","+","+","+","+",NA,NA,31,1590668.30965675,-3181274.58622918,17487.4872265742,0
"7",-0.883654139982836,"+","+","+","+","+",NA,NA,NA,25,1590146.2774653,-3180242.53325454,18519.5402012207,0
"8",-1.16848672186589,"+","+","+",NA,"+",NA,NA,NA,23,1589045.30818533,-3178044.5979633,20717.4754924621,0
"9",-1.03266944763691,"+","+","+","+",NA,"+",NA,NA,19,1587101.04150705,-3174164.07034322,24598.0031125438,0
"10",-0.86245865059043,"+","+","+","+",NA,NA,NA,NA,13,1586621.51367947,-3173217.02129086,25545.0521649006,0
"11",-1.14624808539047,"+","+","+",NA,NA,NA,NA,NA,11,1585798.85137783,-3171575.69835479,27186.3751009693,0
"12",-0.67556284379183,"+","+",NA,"+",NA,"+",NA,NA,15,1583689.71340348,-3167349.41880482,31412.6546509378,0
"13",-0.49188925422441,"+","+",NA,"+",NA,NA,NA,NA,9,1583286.2353242,-3166554.4676479,32207.6058078636,0
"14",-0.770693297695701,"+","+",NA,NA,NA,NA,NA,NA,7,1582589.14024948,-3165164.27863204,33597.7948237234,0
