"","cond((Int))","disp((Int))","cond(dataset_type)","cond(Peak)","cond(WU)","cond(dataset_type:Peak)","cond(dataset_type:WU)","cond(Peak:WU)","cond(dataset_type:Peak:WU)","df","logLik","AICc","delta","weight"
"1",-0.583809267045669,"+","+","+","+","+","+","+","+",63,1593875.49420307,-3187624.85386262,0,1
"2",-0.109472571389385,"+","+","+","+","+",NA,"+",NA,33,1591237.57670957,-3182409.11599793,5215.7378646927,0
"3",-0.117030376626502,"+","+","+","+","+","+","+",NA,39,1591243.35664131,-3182408.66124792,5216.19261469645,0
"4",0.00825890216279731,"+","+","+","+",NA,"+","+",NA,27,1590669.01676031,-3181284.00830886,6340.84555376135,0
"5",0.0066342251031386,"+","+","+","+",NA,NA,"+",NA,21,1590661.20701797,-3181280.3986303,6344.45523232128,0
"6",0.331304205859804,"+","+","+","+","+",NA,NA,NA,25,1589036.02165368,-3178022.0216313,9602.83223131904,0
"7",0.324146822675215,"+","+","+","+","+","+",NA,NA,31,1589039.09665259,-3178016.16022087,9608.69364174874,0
"8",0.410240473514191,"+","+","+","+",NA,"+",NA,NA,19,1588537.48853803,-3177036.96440516,10587.8894574586,0
"9",0.411468245146195,"+","+","+","+",NA,NA,NA,NA,13,1588531.39974427,-3177036.79342047,10588.0604421529,0
"10",0.606056061571524,"+","+","+",NA,"+",NA,NA,NA,23,1587949.70479725,-3175853.39118713,11771.4626754876,0
"11",0.670845224947604,"+","+","+",NA,NA,NA,NA,NA,11,1587468.4607763,-3174914.91715172,12709.9367108955,0
"12",0.410772726943639,"+","+",NA,"+",NA,NA,NA,NA,9,1587048.04902597,-3174078.09505145,13546.7588111698,0
"13",0.404342532415723,"+","+",NA,"+",NA,"+",NA,NA,15,1587053.00226265,-3174075.99652316,13548.8573394576,0
"14",0.652497733245235,"+","+",NA,NA,NA,NA,NA,NA,7,1586137.72106529,-3172261.44026366,15363.413598957,0
