cond(DC),cond(Diversity),cond(Position),cond(SMOOTH),cond(DC:Diversity),cond(DC:Position),cond(DC:SMOOTH),cond(Diversity:Position),cond(Diversity:SMOOTH),cond(Position:SMOOTH),cond(DC:Diversity:Position),cond(DC:Diversity:SMOOTH),cond(DC:Position:SMOOTH),cond(Diversity:Position:SMOOTH),cond(DC:Diversity:Position:SMOOTH),df,logLik,AICc
+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,+,NA,28,-2972.511057,6001.225853
+,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,25,-2975.585407,6001.333844
+,+,+,+,+,+,NA,+,+,+,+,NA,NA,+,NA,34,-2967.046652,6002.392112
+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,+,NA,31,-2970.096948,6002.442891
+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,+,NA,28,-2973.265892,6002.735522
NA,+,+,+,NA,NA,NA,+,+,+,NA,NA,NA,+,NA,22,-2980.848349,6005.823564
+,+,+,+,NA,+,NA,+,NA,+,NA,NA,NA,NA,NA,20,-2982.918329,6005.941935
+,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,17,-2986.146217,6006.369107
+,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,23,-2980.725996,6007.590407
+,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,26,-2977.781689,6007.739472
+,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,20,-2983.851551,6007.808378
+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,+,NA,40,-2963.919356,6008.250824
+,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,22,-2982.270668,6008.6682
+,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,19,-2985.325058,6008.745354
+,+,+,+,+,+,+,+,+,+,NA,NA,NA,+,NA,43,-2961.521827,6009.519269
+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,+,NA,37,-2967.634785,6009.622748
+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,46,-2958.746708,6010.03711
+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,24,-2981.164468,6010.479407
NA,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,14,-2991.426452,6010.905503
+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,+,NA,40,-2965.370264,6011.15264
NA,+,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,13,-2992.856498,6011.758576
+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,27,-2978.807165,6011.803994
+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,30,-2975.805398,6011.8442
+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,24,-2981.929215,6012.0089
+,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,18,-2988.354757,6012.795217
+,NA,+,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,15,-2991.421229,6012.902578
+,+,+,+,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,23,-2983.40106,6012.940534
+,+,+,+,NA,+,+,+,NA,+,NA,NA,NA,NA,NA,32,-2974.47954,6013.224173
+,+,+,+,NA,+,+,+,+,+,NA,NA,+,+,NA,52,-2954.552093,6013.797781
+,+,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,31,-2975.928607,6014.106209
+,+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,23,-2984.152923,6014.444262
+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,35,-2972.084753,6014.48593
+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,26,-2981.173871,6014.523836
+,+,+,+,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,29,-2978.197079,6014.612477
+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,38,-2969.179672,6014.731659
